Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1271.4,          1234.5,          1156.9,          1827.2
log(0.2)            ,          1366.5,          1352.1,          1216.3,          1705.8
log(0.3)            ,          1235.1,          1203.7,          1146.4,          1694.5
log(0.4)            ,          1334.2,          1294.5,          1235.4,          1692.4
log(0.5)            ,            13.9,            13.2,            10.9,            31.8
log(0.6)            ,          1354.1,          1314.5,          1237.1,          1918.8
log(0.7)            ,          2279.7,          2340.9,          1269.3,          3095.4
log(0.8)            ,          1676.3,          1465.0,          1230.5,          3190.1
log(0.9)            ,          1277.5,          1250.3,          1179.6,          1619.7
log(1)              ,             0.0,             0.0,             0.0,             0.1
log(2)              ,            48.1,            44.2,            36.3,           105.2
log(10)             ,             7.0,             7.3,             4.8,             9.3
log(100)            ,            12.4,            11.4,             7.5,            39.2
log2(2)             ,            66.2,            60.5,            39.7,           151.2
log10(2)            ,            43.0,            41.2,            39.9,           124.7
exp(2)              ,           460.3,           445.7,           429.6,           612.9
sqrt(2)             ,            23.1,            22.0,            19.1,            40.9
sqrt(9)             ,            74.1,            69.8,            66.4,           166.8
pow(2;3)            ,             0.1,             0.1,             0.1,             0.2
pow(2;0.1)          ,           581.1,           556.0,           524.5,           917.6
root(2;3)           ,           105.0,           114.0,            72.6,           200.6
sin(2)              ,           432.9,           423.6,           381.8,           550.7
sin(100)            ,          1029.2,          1038.4,           934.0,          1132.1
cos(2)              ,           436.1,           425.1,           407.4,           749.2
cos(100)            ,          1011.9,           981.5,           932.6,          1716.4
tan(2)              ,           932.9,           916.3,           872.5,          1291.6
cot(2)              ,           938.3,           935.8,           870.8,          1076.5
asin(0.1)           ,          1073.9,          1061.8,          1023.3,          1194.6
asin(0.8)           ,         29376.5,         24175.4,         23212.1,         41863.2
acos(0.1)           ,          1179.5,          1163.9,          1113.5,          1363.3
atan(0.1)           ,          1952.5,          1935.3,          1850.7,          2177.8
acot(0.1)           ,          1987.2,          1975.7,          1899.5,          2233.3
sinh(2)             ,           372.0,           359.4,           350.8,           527.3
cosh(2)             ,           408.9,           398.0,           383.9,           552.9
tanh(2)             ,           911.3,           899.0,           857.4,          1047.2
asinh(0.1)          ,          1325.8,          1302.5,          1234.0,          1497.4
acosh(2)            ,          1335.9,          1310.4,          1226.2,          2066.1
atanh(0.1)          ,          1359.1,          1331.7,          1266.6,          1920.5
acoth(2)            ,           145.4,           141.6,           140.4,           358.9
coth(2)             ,                ,                ,                ,                
atan2(2;3)          ,                ,                ,                ,                
gamma(0.1)          ,                ,                ,                ,                
BigFloat.add        ,             1.2,             1.0,             0.5,            27.2
BigFloat.subtract   ,             0.4,             0.3,             0.3,             1.8
BigFloat.multiply   ,             0.3,             0.3,             0.3,             1.3
BigFloat.divide     ,             0.8,             0.8,             0.7,             3.2
