    a,  precision
  377,        302
  378,        303
  379,        304
  380,        304
  381,        305
  382,        306
  383,        307
  384,        308
  385,        308
  386,        309
  387,        310
  388,        311
  389,        312
  390,        312
  391,        313
  392,        314
  393,        315
  394,        316
  395,        316
  396,        317
  397,        318
  398,        319
  399,        320
  400,        320
  401,        321
  402,        322
  403,        323
  404,        324
  405,        324
  406,        325
  407,        326
  408,        327
  409,        328
  410,        328
  411,        329
  412,        330
  413,        331
  414,        332
  415,        332
  416,        333
  417,        334
  418,        335
  419,        336
  420,        336
  421,        337
  422,        338
  423,        339
  424,        340
  425,        340
  426,        341
  427,        342
  428,        343
  429,        344
  430,        344
  431,        345
  432,        346
  433,        347
  434,        348
  435,        348
  436,        349
  437,        350
  438,        351
  439,        352
  440,        352
  441,        353
  442,        354
  443,        355
  444,        356
  445,        356
  446,        357
  447,        358
  448,        359
  449,        360
  450,        360
  451,        361
  452,        362
  453,        363
  454,        364
  455,        364
  456,        365
  457,        366
  458,        367
  459,        368
  460,        368
  461,        369
  462,        370
  463,        371
  464,        372
  465,        372
  466,        373
  467,        374
  468,        375
  469,        376
  470,        376
  471,        377
  472,        378
  473,        379
  474,        380
  475,        380
  476,        381
  477,        382
  478,        383
  479,        384
  480,        384
  481,        385
  482,        386
  483,        387
  484,        388
  485,        388
  486,        389
  487,        390
  488,        391
  489,        392
  490,        392
  491,        393
  492,        394
  493,        395
  494,        396
  495,        396
  496,        397
  497,        398
  498,        399
  499,        400
  500,        400
  501,        401
  502,        402
  503,        403
  504,        404
  505,        404
  506,        405
  507,        406
  508,        407
  509,        408
  510,        408
  511,        409
  512,        410
  513,        411
  514,        412
  515,        412
  516,        413
  517,        414
  518,        415
  519,        416
  520,        416
  521,        417
  522,        418
  523,        419
  524,        420
  525,        420
  526,        421
  527,        422
  528,        423
  529,        423
  530,        424
  531,        425
  532,        426
  533,        427
  534,        427
  535,        428
  536,        429
  537,        430
  538,        431
  539,        431
  540,        432
  541,        433
  542,        434
  543,        435
  544,        435
  545,        436
  546,        437
  547,        438
  548,        439
  549,        439
  550,        440
  551,        441
  552,        442
  553,        443
  554,        443
  555,        444
  556,        445
  557,        446
  558,        447
  559,        447
  560,        448
  561,        449
  562,        450
  563,        451
  564,        451
  565,        452
  566,        453
  567,        454
  568,        455
  569,        455
  570,        456
  571,        457
  572,        458
  573,        459
  574,        459
  575,        460
  576,        461
  577,        462
  578,        463
  579,        463
  580,        464
  581,        465
  582,        466
  583,        467
  584,        467
  585,        468
  586,        469
  587,        470
  588,        471
  589,        471
  590,        472
  591,        473
  592,        474
  593,        475
  594,        475
  595,        476
  596,        477
  597,        478
  598,        479
  599,        479
  600,        480
  601,        481
  602,        482
  603,        483
  604,        483
  605,        484
  606,        485
  607,        486
  608,        487
  609,        487
  610,        488
  611,        489
  612,        490
  613,        491
  614,        491
  615,        492
  616,        493
  617,        494
  618,        495
  619,        495
  620,        496
  621,        497
  622,        498
  623,        499
  624,        499
  625,        500
  626,        501
  627,        502
  628,        503
  629,        503
  630,        504
  631,        505
  632,        506
  633,        507
  634,        507
  635,        508
  636,        509
  637,        510
  638,        511
  639,        511
  640,        512
  641,        513
  642,        514
  643,        515
  644,        515
  645,        516
  646,        517
  647,        518
  648,        519
  649,        519
  650,        520
  651,        521
  652,        522
  653,        523
  654,        523
  655,        524
  656,        525
  657,        526
  658,        527
  659,        527
  660,        528
  661,        529
  662,        530
  663,        531
  664,        531
  665,        532
  666,        533
  667,        534
  668,        534
  669,        535
  670,        536
  671,        537
  672,        538
  673,        538
  674,        539
  675,        540
  676,        541
  677,        542
  678,        542
  679,        543
  680,        544
  681,        545
  682,        546
  683,        546
  684,        547
  685,        548
  686,        549
  687,        550
  688,        550
  689,        551
  690,        552
  691,        553
  692,        554
  693,        554
  694,        555
  695,        556
  696,        557
  697,        558
  698,        558
  699,        559
  700,        560
  701,        561
  702,        562
  703,        562
  704,        563
  705,        564
  706,        565
  707,        566
  708,        566
  709,        567
  710,        568
  711,        569
  712,        570
  713,        570
  714,        571
  715,        572
  716,        573
  717,        574
  718,        574
  719,        575
  720,        576
  721,        577
  722,        578
  723,        578
  724,        579
  725,        580
  726,        581
  727,        582
  728,        582
  729,        583
  730,        584
  731,        585
  732,        586
  733,        586
  734,        587
  735,        588
  736,        589
  737,        590
  738,        590
  739,        591
  740,        592
  741,        593
  742,        594
  743,        594
  744,        595
  745,        596
  746,        597
  747,        598
  748,        598
  749,        599
  750,        600
  751,        601
  752,        602
  753,        602
  754,        603
  755,        604
  756,        605
  757,        606
  758,        606
  759,        607
  760,        608
  761,        609
  762,        610
  763,        610
  764,        611
  765,        612
  766,        613
  767,        614
  768,        614
  769,        615
  770,        616
  771,        617
  772,        618
  773,        618
  774,        619
  775,        620
  776,        621
  777,        622
  778,        622
  779,        623
  780,        624
  781,        625
  782,        626
  783,        626
  784,        627
  785,        628
  786,        629
  787,        630
  788,        630
  789,        631
  790,        632
  791,        633
  792,        634
  793,        634
  794,        635
  795,        636
  796,        637
  797,        637
  798,        638
  799,        639
  800,        640
  801,        641
  802,        641
  803,        642
  804,        643
  805,        644
  806,        645
  807,        645
  808,        646
  809,        647
  810,        648
  811,        649
  812,        649
  813,        650
  814,        651
  815,        652
  816,        653
  817,        653
  818,        654
  819,        655
  820,        656
  821,        657
  822,        657
  823,        658
  824,        659
  825,        660
  826,        661
  827,        661
  828,        662
  829,        663
  830,        664
  831,        665
  832,        665
  833,        666
  834,        667
  835,        668
  836,        669
  837,        669
  838,        670
  839,        671
  840,        672
  841,        673
  842,        673
  843,        674
  844,        675
  845,        676
  846,        677
  847,        677
  848,        678
  849,        679
  850,        680
  851,        681
  852,        681
  853,        682
  854,        683
  855,        684
  856,        685
  857,        685
  858,        686
  859,        687
  860,        688
  861,        689
  862,        689
  863,        690
  864,        691
  865,        692
  866,        693
  867,        693
  868,        694
  869,        695
  870,        696
  871,        697
  872,        697
  873,        698
  874,        699
  875,        700
  876,        701
  877,        701
  878,        702
  879,        703
  880,        704
  881,        705
  882,        705
  883,        706
  884,        707
  885,        708
  886,        709
  887,        709
  888,        710
  889,        711
  890,        712
  891,        713
  892,        713
  893,        714
  894,        715
  895,        716
  896,        717
  897,        717
  898,        718
  899,        719
  900,        720
  901,        721
  902,        721
  903,        722
  904,        723
  905,        724
  906,        725
  907,        725
  908,        726
  909,        727
  910,        728
  911,        729
  912,        729
  913,        730
  914,        731
  915,        732
  916,        733
  917,        733
  918,        734
  919,        735
  920,        736
  921,        737
  922,        737
  923,        738
  924,        739
  925,        740
  926,        740
  927,        741
  928,        742
  929,        743
  930,        744
  931,        744
  932,        745
  933,        746
  934,        747
  935,        748
  936,        748
  937,        749
  938,        750
  939,        751
  940,        752
  941,        752
  942,        753
  943,        754
  944,        755
  945,        756
  946,        756
  947,        757
  948,        758
  949,        759
  950,        760
  951,        760
  952,        761
  953,        762
  954,        763
  955,        764
  956,        764
  957,        765
  958,        766
  959,        767
  960,        768
  961,        768
  962,        769
  963,        770
  964,        771
  965,        772
  966,        772
  967,        773
  968,        774
  969,        775
  970,        776
  971,        776
  972,        777
  973,        778
  974,        779
  975,        780
  976,        780
  977,        781
  978,        782
  979,        783
  980,        784
  981,        784
  982,        785
  983,        786
  984,        787
  985,        788
  986,        788
  987,        789
  988,        790
  989,        791
  990,        792
  991,        792
  992,        793
  993,        794
  994,        795
  995,        796
  996,        796
  997,        797
  998,        798
  999,        799
