Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1404.8,          1386.9,          1373.2,          1595.8
log(0.2)            ,          1487.8,          1465.5,          1450.4,          1700.6
log(0.3)            ,          2315.5,          2541.5,          1377.8,          3113.7
log(0.4)            ,          1548.0,          1290.9,          1206.1,          2456.8
log(0.5)            ,             5.2,             5.0,             4.4,             8.2
log(0.6)            ,          1603.0,          1537.7,          1431.4,          2262.1
log(0.7)            ,          1584.0,          1564.6,          1522.1,          1832.5
log(0.8)            ,          1516.0,          1499.2,          1446.3,          1941.8
log(0.9)            ,          1435.5,          1423.8,          1381.9,          1638.8
log(1)              ,             0.1,             0.1,             0.1,             0.2
log(2)              ,            37.3,            33.4,            32.3,           129.6
log(10)             ,             1.8,             1.8,             1.3,             2.5
log(100)            ,             5.1,             4.7,             4.6,            13.2
log2(2)             ,           128.8,           163.1,            68.4,           310.7
log10(2)            ,            40.8,            38.4,            37.5,            86.1
exp(2)              ,           558.5,           541.5,           529.5,           778.8
sqrt(2)             ,            17.7,            17.6,            16.5,            30.3
sqrt(9)             ,             0.3,             0.3,             0.2,             1.6
pow(2;3)            ,             0.1,             0.1,             0.1,             1.0
pow(2;0.1)          ,           637.6,           622.7,           611.2,           779.4
root(2;3)           ,           106.2,            97.4,            87.7,           249.1
sin(2)              ,           467.8,           458.4,           449.5,           641.8
sin(100)            ,          1134.0,          1114.7,          1095.2,          1277.5
cos(2)              ,           524.9,           512.2,           500.8,           655.3
cos(100)            ,          1178.3,          1159.3,          1136.6,          1328.7
tan(2)              ,          1095.1,          1061.6,          1028.0,          2054.5
cot(2)              ,          1066.1,          1050.5,          1024.7,          1195.7
asin(0.1)           ,          1280.9,          1273.5,          1232.2,          1409.1
asin(0.8)           ,         31408.8,         24918.3,         23361.4,         50803.5
acos(0.1)           ,          2213.9,          2066.3,          1980.1,          3007.7
atan(0.1)           ,          2217.0,          1979.1,          1849.9,          4404.5
acot(0.1)           ,          2310.5,          2287.1,          2249.9,          2444.6
sinh(2)             ,           454.9,           435.2,           424.5,           812.4
cosh(2)             ,           479.2,           461.7,           450.7,           975.8
tanh(2)             ,          1061.7,          1040.2,          1019.1,          1316.6
asinh(0.1)          ,          1570.8,          1520.4,          1476.9,          2333.5
acosh(2)            ,          1534.0,          1511.0,          1454.4,          2234.3
atanh(0.1)          ,          1593.8,          1572.0,          1523.9,          2188.9
acoth(2)            ,            71.1,            67.1,            65.2,           174.5
coth(2)             ,          1064.5,          1047.9,          1022.2,          1194.3
atan2(2;3)          ,                ,                ,                ,                
gamma(0.1)          ,                ,                ,                ,                
BigFloat.add        ,             0.6,             0.4,             0.4,            19.2
BigFloat.subtract   ,             0.3,             0.3,             0.2,             1.3
BigFloat.multiply   ,             0.2,             0.2,             0.1,             1.3
BigFloat.divide     ,             0.5,             0.5,             0.4,             0.8
