Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1993.3,          1964.8,          1921.3,          2456.1
log(0.2)            ,          2042.6,          2010.4,          1965.1,          2453.4
log(0.3)            ,          1981.6,          1951.4,          1900.0,          2573.2
log(0.4)            ,          1748.6,          1725.2,          1681.3,          2168.1
log(0.5)            ,          1727.1,          1679.5,          1636.6,          2189.6
log(0.6)            ,          1657.4,          1642.8,          1602.5,          2089.1
log(0.7)            ,          1600.8,          1586.3,          1543.9,          1942.5
log(0.8)            ,          1549.4,          1529.2,          1490.1,          2020.4
log(0.9)            ,          1470.4,          1458.0,          1421.2,          1979.4
log(1)              ,             0.0,             0.0,             0.0,             0.5
log(2)              ,          1684.6,          1671.4,          1632.9,          2207.6
log(10)             ,             1.4,             1.4,             1.4,             1.9
log(100)            ,            13.8,            15.3,            10.3,            19.0
log2(2)             ,          1823.1,          1785.3,          1743.2,          2401.5
log10(2)            ,          1768.0,          1738.8,          1697.0,          2540.0
exp(2)              ,           556.9,           539.9,           533.5,           797.8
sqrt(2)             ,            14.7,            14.2,            14.0,            43.5
sqrt(9)             ,             0.3,             0.3,             0.1,             0.6
pow(2;3)            ,             0.1,             0.1,             0.1,             0.6
pow(2;0.1)          ,          2418.1,          2378.9,          2332.1,          3158.2
root(2;3)           ,            93.8,            90.8,            89.1,           135.8
sin(2)              ,           451.5,           438.8,           431.7,           664.0
sin(100)            ,          1105.3,          1093.6,          1081.4,          1280.5
cos(2)              ,           497.1,           488.1,           483.7,           547.4
cos(100)            ,          1194.3,          1162.1,          1128.0,          1664.1
tan(2)              ,          1023.9,          1006.2,           993.8,          1476.5
cot(2)              ,          1032.0,          1007.5,           989.9,          1493.8
asin(0.1)           ,          1217.7,          1195.7,          1163.0,          1710.8
asin(0.8)           ,         25403.7,         25377.4,         24799.9,         26448.3
acos(0.1)           ,          1303.1,          1284.0,          1249.3,          1720.2
atan(0.1)           ,          2137.5,          2097.4,          2055.7,          2928.0
acot(0.1)           ,          2201.8,          2164.7,          2119.4,          2709.8
sinh(2)             ,           413.3,           405.9,           401.1,           467.1
cosh(2)             ,           451.5,           433.5,           428.7,           662.9
tanh(2)             ,          1027.0,          1016.8,           988.5,          1452.6
asinh(0.1)          ,          1585.9,          1571.6,          1535.7,          2091.3
acosh(2)            ,          2115.2,          2090.5,          2046.5,          2869.7
atanh(0.1)          ,          1633.3,          1612.9,          1572.9,          2352.5
acoth(2)            ,          2121.7,          2089.8,          2044.9,          3035.1
coth(2)             ,          1029.3,           996.8,           980.2,          1487.2
atan2(2;3)          ,         20286.6,         20253.4,         19812.6,         21698.7
gamma(0.1)          ,         44829.1,         44715.1,         43999.5,         46715.0
BigFloat.add        ,             0.2,             0.2,             0.2,             0.3
BigFloat.subtract   ,             0.1,             0.1,             0.0,             1.2
BigFloat.multiply   ,             0.2,             0.1,             0.1,             1.1
BigFloat.divide     ,             0.2,             0.2,             0.2,             0.7
