Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          2057.0,          2010.1,          1985.3,          2665.4
log(0.2)            ,          2112.9,          2101.9,          2025.8,          2283.6
log(0.3)            ,          2002.4,          1971.4,          1955.0,          2186.2
log(0.4)            ,          1793.2,          1761.1,          1745.0,          2016.7
log(0.5)            ,          1752.0,          1721.4,          1695.5,          2029.3
log(0.6)            ,          1719.7,          1691.7,          1669.5,          1941.3
log(0.7)            ,          1503.7,          1455.5,          1353.3,          1824.0
log(0.8)            ,          1573.8,          1551.1,          1536.0,          1795.8
log(0.9)            ,          1496.9,          1478.2,          1466.5,          1758.8
log(1)              ,             0.0,             0.0,             0.0,             0.1
log(2)              ,          1727.1,          1705.5,          1678.9,          1997.6
log(10)             ,             1.8,             1.7,             1.6,            13.6
log(100)            ,            20.4,            19.4,            18.8,            35.7
log2(2)             ,          1829.3,          1800.7,          1784.2,          2103.8
log10(2)            ,          1791.5,          1760.6,          1737.1,          2010.3
exp(2)              ,           574.6,           554.3,           537.7,           860.8
sqrt(2)             ,            15.7,            13.3,            13.0,            36.3
sqrt(9)             ,             0.7,             0.6,             0.3,             3.5
pow(2;3)            ,             0.1,             0.1,             0.0,             0.4
pow(2;0.1)          ,          2503.3,          2448.1,          2393.1,          3926.7
root(2;3)           ,            99.9,            90.2,            88.5,           215.4
sin(2)              ,           469.4,           454.9,           442.3,           682.1
sin(100)            ,          1107.4,          1091.6,          1071.4,          1296.4
cos(2)              ,           506.7,           500.7,           490.6,           670.3
cos(100)            ,          1161.8,          1140.6,          1121.7,          1429.0
tan(2)              ,          1070.3,          1037.9,          1010.6,          1322.6
cot(2)              ,          1052.1,          1036.2,          1011.0,          1307.3
asin(0.1)           ,          1270.5,          1248.9,          1231.3,          1485.1
asin(0.8)           ,         26503.8,         27475.9,         23119.4,         31176.9
acos(0.1)           ,          1333.9,          1329.3,          1139.4,          1538.6
atan(0.1)           ,          2240.5,          2202.5,          2179.0,          2530.9
acot(0.1)           ,          2127.8,          2223.2,          1884.9,          2525.0
sinh(2)             ,           438.5,           427.3,           419.4,           627.4
cosh(2)             ,           468.3,           457.0,           447.2,           677.9
tanh(2)             ,          1042.7,          1018.0,          1006.9,          1278.9
asinh(0.1)          ,          1656.0,          1632.8,          1594.0,          1901.9
acosh(2)            ,          2192.7,          2151.4,          2125.5,          2454.6
atanh(0.1)          ,          1589.9,          1640.8,          1388.9,          1872.6
acoth(2)            ,          2185.9,          2160.8,          1803.5,          2439.5
coth(2)             ,          1030.6,          1025.2,           852.9,          1252.2
atan2(2;3)          ,             0.9,             0.8,             0.7,             1.9
gamma(0.1)          ,                ,                ,                ,                
BigFloat.add        ,             0.8,             0.7,             0.6,             1.4
BigFloat.subtract   ,             0.4,             0.4,             0.4,             1.2
BigFloat.multiply   ,             0.3,             0.3,             0.3,             1.1
BigFloat.divide     ,             0.9,             0.9,             0.7,             2.4
