Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,            2271,            2203,            2081,            6865
log(0.2)            ,            2422,            2325,            2183,            3970
log(0.3)            ,            2283,            2204,            2082,            3724
log(0.4)            ,            2338,            2271,            2143,            3649
log(0.5)            ,              22,              17,              16,              83
log(0.6)            ,            2397,            2284,            2149,            3806
log(0.7)            ,            2396,            2308,            2177,            5124
log(0.8)            ,            2322,            2232,            2112,            3457
log(0.9)            ,            2216,            2141,            2027,            3744
log(1)              ,               0,               0,               0,              17
log(2)              ,             120,             111,             110,             966
log(10)             ,               2,               2,               2,              31
log(100)            ,              17,              16,              15,              70
log2(2)             ,             274,             267,             220,            3179
log10(2)            ,             135,             125,             123,             984
exp(2)              ,             906,             859,             795,            1978
sqrt(2)             ,              35,              23,              22,            2953
sqrt(9)             ,               0,               0,               0,              54
pow(2;3)            ,               0,               0,               0,               2
pow(2;0.1)          ,            1006,             970,             909,            2066
root(2;3)           ,             137,             112,             101,             708
sin(2)              ,             675,             642,             594,            1622
sin(100)            ,            1700,            1641,            1518,            3330
cos(2)              ,             790,             764,             707,            1924
cos(100)            ,            1838,            1768,            1639,            3277
tan(2)              ,            1536,            1467,            1367,            3104
cot(2)              ,            1524,            1472,            1368,            3015
asin(0.1)           ,            1635,            1577,            1469,            2692
asin(0.8)           ,           23501,           23231,           22073,           35978
acos(0.1)           ,            1731,            1677,            1561,            2878
atan(0.1)           ,            2436,            2356,            2225,            3922
acot(0.1)           ,            2492,            2416,            2285,            3955
sinh(2)             ,             630,             612,             563,            1581
cosh(2)             ,             728,             703,             653,            1743
tanh(2)             ,            1548,            1468,            1367,           15768
asinh(0.1)          ,            2722,            2473,            2185,            4225
acosh(2)            ,            2414,            2332,            2201,            3567
atanh(0.1)          ,            2403,            2332,            2202,            3721
acoth(2)            ,             241,             221,             211,            1127
coth(2)             ,            1522,            1468,            1366,            2751
BigFloat.add        ,               1,               1,               1,              36
BigFloat.subtract   ,               0,               1,               0,              45
BigFloat.multiply   ,               0,               0,               0,             127
BigFloat.divide     ,               1,               1,               1,             126
