Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1426.5,          1389.3,          1367.7,          1854.4
log(0.2)            ,          1529.0,          1491.3,          1451.3,          2358.9
log(0.3)            ,          1441.1,          1413.0,          1378.0,          1921.8
log(0.4)            ,          1479.5,          1449.7,          1423.3,          1815.8
log(0.5)            ,             5.7,             5.6,             5.0,            10.0
log(0.6)            ,          1495.0,          1470.7,          1423.1,          2055.0
log(0.7)            ,          1579.2,          1553.0,          1514.7,          1833.9
log(0.8)            ,          1505.2,          1480.0,          1448.7,          1792.0
log(0.9)            ,          1428.6,          1407.2,          1378.8,          1565.1
log(1)              ,             0.1,             0.1,             0.0,             0.1
log(2)              ,            33.7,            32.0,            31.1,           129.5
log(10)             ,             1.8,             1.8,             1.3,             2.6
log(100)            ,             5.2,             5.0,             4.7,            13.3
log2(2)             ,            88.7,           100.9,            66.3,           168.2
log10(2)            ,            37.8,            36.2,            35.3,            51.7
exp(2)              ,           551.6,           538.7,           523.8,           735.8
sqrt(2)             ,            20.2,            18.5,            16.6,            32.2
sqrt(9)             ,             0.4,             0.4,             0.2,             0.7
pow(2;3)            ,             0.1,             0.1,             0.1,             0.2
pow(2;0.1)          ,           630.7,           620.2,           606.1,           771.5
root(2;3)           ,           105.2,            92.8,            85.6,           185.7
sin(2)              ,           467.1,           459.7,           446.7,           581.7
sin(100)            ,          1155.2,          1125.0,          1077.1,          1568.1
cos(2)              ,           670.2,           533.6,           414.3,          1217.6
cos(100)            ,          1191.5,          1169.9,          1119.0,          1678.0
tan(2)              ,          1074.6,          1027.4,          1011.1,          1801.8
cot(2)              ,          1051.0,          1030.7,          1010.5,          1285.9
asin(0.1)           ,          1263.9,          1243.3,          1224.6,          1443.9
asin(0.8)           ,         26441.1,         27469.1,         23114.3,         29661.2
acos(0.1)           ,          1356.1,          1340.1,          1327.2,          1632.3
atan(0.1)           ,          2190.6,          2220.4,          1851.3,          2749.0
acot(0.1)           ,          2304.6,          2270.1,          2252.4,          2553.1
sinh(2)             ,           441.9,           430.8,           422.5,           683.3
cosh(2)             ,           465.5,           458.8,           450.0,           691.7
tanh(2)             ,          1060.5,          1037.9,          1018.5,          1284.1
asinh(0.1)          ,          1546.9,          1513.0,          1467.0,          2434.4
acosh(2)            ,          1508.4,          1475.4,          1457.9,          1831.6
atanh(0.1)          ,          1563.8,          1544.3,          1513.4,          1825.8
acoth(2)            ,            68.5,            66.8,            65.2,           222.3
coth(2)             ,          1049.5,          1034.2,          1022.0,          1228.4
atan2(2;3)          ,                ,                ,                ,                
gamma(0.1)          ,                ,                ,                ,                
BigFloat.add        ,             0.4,             0.4,             0.2,             0.9
BigFloat.subtract   ,             0.2,             0.2,             0.1,             0.8
BigFloat.multiply   ,             0.1,             0.1,             0.1,             0.4
BigFloat.divide     ,             0.4,             0.4,             0.3,             0.4
