Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1239.7,          1214.4,          1159.2,          1508.3
log(0.2)            ,          1321.3,          1288.0,          1239.6,          1598.7
log(0.3)            ,          1246.1,          1223.3,          1156.9,          1548.3
log(0.4)            ,          1271.1,          1261.7,          1188.6,          1625.5
log(0.5)            ,             8.1,             7.9,             7.7,            10.9
log(0.6)            ,          1287.8,          1260.4,          1200.8,          1783.5
log(0.7)            ,          1400.3,          1380.9,          1302.1,          1811.2
log(0.8)            ,          1292.5,          1274.7,          1211.3,          1492.4
log(0.9)            ,          1241.4,          1221.1,          1142.8,          1432.8
log(1)              ,             0.0,             0.0,             0.0,             0.1
log(2)              ,            33.1,            31.6,            31.0,            46.6
log(10)             ,             7.1,             7.4,             4.8,            10.9
log(100)            ,             7.5,             7.4,             7.2,            10.3
log2(2)             ,            54.0,            46.5,            44.4,           163.8
log10(2)            ,            43.8,            41.1,            39.9,           143.3
exp(2)              ,           484.1,           468.2,           437.0,           684.7
sqrt(2)             ,            21.3,            20.8,            14.2,           125.7
sqrt(9)             ,            73.2,            69.0,            65.4,           170.1
pow(2;3)            ,             0.1,             0.1,             0.1,             0.1
pow(2;0.1)          ,           550.0,           542.6,           507.7,           749.4
root(2;3)           ,            94.9,            85.2,            72.9,           196.4
sin(2)              ,           403.6,           391.5,           368.7,           558.1
sin(100)            ,           954.4,           944.8,           902.6,          1190.0
cos(2)              ,           450.7,           440.9,           408.9,           642.1
cos(100)            ,          1043.5,          1025.7,           979.3,          1238.3
tan(2)              ,           904.6,           880.5,           844.6,          1431.2
cot(2)              ,           889.7,           880.8,           842.1,          1029.6
asin(0.1)           ,          1130.8,          1108.2,          1027.0,          1414.6
asin(0.8)           ,         24141.9,         24092.0,         23277.7,         26195.6
acos(0.1)           ,          1200.6,          1186.5,          1109.7,          1518.7
atan(0.1)           ,          3404.3,          3249.5,          1966.2,         11188.7
acot(0.1)           ,          3174.9,          2140.3,          2017.5,         26851.8
sinh(2)             ,           677.2,           665.3,           603.7,           827.2
cosh(2)             ,           820.6,           853.9,           699.2,          1055.4
tanh(2)             ,          1122.6,          1037.2,          1009.0,          2126.1
asinh(0.1)          ,          1591.8,          1577.1,          1483.5,          2241.1
acosh(2)            ,          1509.5,          1494.5,          1459.0,          2242.5
atanh(0.1)          ,          1564.2,          1544.6,          1507.7,          2117.3
acoth(2)            ,            74.2,            72.1,            70.2,           100.1
coth(2)             ,          1057.2,          1030.0,          1010.2,          1458.2
atan2(2;3)          ,                ,                ,                ,                
gamma(0.1)          ,                ,                ,                ,                
BigFloat.add        ,             0.3,             0.3,             0.2,             0.8
BigFloat.subtract   ,             0.4,             0.3,             0.2,             2.5
BigFloat.multiply   ,             0.2,             0.2,             0.2,             1.2
BigFloat.divide     ,             0.5,             0.5,             0.3,             2.5
