Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1411.0,          1386.3,          1368.1,          1614.9
log(0.2)            ,          1518.7,          1493.5,          1439.2,          1844.4
log(0.3)            ,          1408.6,          1385.1,          1367.0,          1616.3
log(0.4)            ,          1459.6,          1430.5,          1407.6,          1789.7
log(0.5)            ,             6.7,             6.5,             6.3,             8.3
log(0.6)            ,          1455.8,          1430.0,          1413.4,          1729.1
log(0.7)            ,          1572.8,          1535.6,          1502.0,          2451.7
log(0.8)            ,          1489.9,          1461.2,          1439.5,          1722.2
log(0.9)            ,          1411.1,          1382.4,          1366.6,          1950.2
log(1)              ,             0.1,             0.1,             0.0,             0.1
log(2)              ,            33.4,            33.1,            32.2,            47.0
log(10)             ,             1.3,             1.3,             1.3,             1.9
log(100)            ,             4.7,             4.6,             4.5,             6.0
log2(2)             ,           100.1,            98.1,            66.8,           180.1
log10(2)            ,            37.7,            37.3,            36.6,            44.9
exp(2)              ,           551.2,           535.1,           528.7,           854.1
sqrt(2)             ,            12.1,            11.8,            11.6,            23.0
sqrt(9)             ,             0.3,             0.2,             0.2,             0.9
pow(2;3)            ,             0.1,             0.1,             0.1,             1.4
pow(2;0.1)          ,           639.0,           625.8,           610.4,           880.7
root(2;3)           ,            92.4,            89.6,            87.0,           212.6
sin(2)              ,           472.6,           455.1,           446.1,           684.4
sin(100)            ,          1109.9,          1093.7,          1083.2,          1378.7
cos(2)              ,           518.3,           506.6,           494.2,           841.7
cos(100)            ,          1172.9,          1150.9,          1125.6,          1506.9
tan(2)              ,          1051.8,          1033.6,          1017.9,          1248.1
cot(2)              ,          1068.0,          1050.8,          1015.8,          1268.4
asin(0.1)           ,          1267.8,          1247.4,          1227.0,          1500.4
asin(0.8)           ,         26310.0,         27399.1,         23166.4,         27908.4
acos(0.1)           ,          1368.6,          1334.0,          1321.9,          2310.5
atan(0.1)           ,          2237.0,          2206.0,          2188.8,          2505.7
acot(0.1)           ,          2295.4,          2261.5,          2244.1,          2588.1
sinh(2)             ,           436.8,           429.2,           421.8,           615.9
cosh(2)             ,           458.7,           451.7,           446.0,           687.2
tanh(2)             ,          1039.3,          1022.6,          1011.8,          1284.8
asinh(0.1)          ,          1498.3,          1470.8,          1448.7,          1710.0
acosh(2)            ,          1485.1,          1463.0,          1440.1,          1685.9
atanh(0.1)          ,          1546.7,          1520.5,          1505.6,          2022.7
acoth(2)            ,            68.8,            66.6,            64.9,           241.6
coth(2)             ,          1040.8,          1023.3,          1010.6,          1370.6
atan2(2;3)          ,             1.1,             0.9,             0.7,             8.5
gamma(0.1)          ,                ,                ,                ,                
BigFloat.add        ,             0.6,             0.6,             0.4,             1.9
BigFloat.subtract   ,             0.6,             0.6,             0.6,             0.7
BigFloat.multiply   ,             0.4,             0.3,             0.3,             1.0
BigFloat.divide     ,             0.9,             0.9,             0.8,             1.8
