Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1099.5,          1071.7,          1052.0,          1531.1
log(0.2)            ,          1152.8,          1150.8,          1112.1,          1574.2
log(0.3)            ,          1103.1,          1087.4,          1050.4,          1466.3
log(0.4)            ,          1150.1,          1127.4,          1093.8,          1445.8
log(0.5)            ,             9.9,             9.7,             9.6,            12.6
log(0.6)            ,          1134.3,          1125.3,          1094.9,          1496.5
log(0.7)            ,          1163.1,          1149.3,          1120.1,          1536.3
log(0.8)            ,          1127.3,          1110.2,          1078.2,          1581.3
log(0.9)            ,          1076.5,          1063.5,          1030.3,          1504.9
log(1)              ,             0.0,             0.0,             0.0,             0.5
log(2)              ,            43.8,            42.7,            42.5,            79.3
log(10)             ,             1.2,             1.2,             1.2,             1.7
log(100)            ,            10.2,             9.7,             9.6,            46.6
log2(2)             ,            88.0,            84.1,            83.5,           129.0
log10(2)            ,            51.7,            50.5,            50.0,            90.0
exp(2)              ,           354.7,           348.5,           345.0,           393.9
sqrt(2)             ,            13.5,            12.6,            12.4,            58.3
sqrt(9)             ,             0.3,             0.3,             0.2,             0.9
pow(2;3)            ,             0.1,             0.1,             0.1,             0.3
pow(2;0.1)          ,           512.8,           485.1,           480.1,           720.1
root(2;3)           ,           163.7,           151.1,           147.9,           231.1
sin(2)              ,           315.7,           303.4,           300.7,           467.0
sin(100)            ,           936.3,           921.6,           898.3,          1263.1
cos(2)              ,           370.5,           348.6,           344.0,           534.2
cos(100)            ,           985.9,           963.9,           942.5,          1404.6
tan(2)              ,           741.5,           709.2,           695.5,          1076.4
cot(2)              ,           738.8,           710.5,           697.2,          1070.1
asin(0.1)           ,           720.3,           702.5,           691.1,           955.9
asin(0.8)           ,         12725.2,         12651.7,         12454.1,         13536.3
acos(0.1)           ,           780.7,           757.1,           741.0,          1077.6
atan(0.1)           ,          1363.2,          1342.9,          1304.7,          1813.7
acot(0.1)           ,          1386.2,          1374.6,          1341.4,          1792.8
sinh(2)             ,           287.6,           281.9,           278.7,           405.5
cosh(2)             ,           327.5,           315.7,           311.2,           476.1
tanh(2)             ,           722.6,           701.7,           694.6,          1057.5
asinh(0.1)          ,          1175.5,          1147.6,          1108.2,          1567.8
acosh(2)            ,          1175.3,          1150.4,          1113.9,          1640.0
atanh(0.1)          ,          1173.3,          1161.2,          1128.4,          1605.9
acoth(2)            ,            79.9,            78.8,            78.0,           127.5
coth(2)             ,           729.6,           707.1,           695.0,          1054.4
atan2(2;3)          ,         11087.7,         10961.1,         10806.8,         12305.6
gamma(0.1)          ,         11075.6,         10962.1,         10797.8,         12006.6
BigFloat.add        ,             0.3,             0.3,             0.2,             2.7
BigFloat.subtract   ,             0.3,             0.2,             0.1,             5.5
BigFloat.multiply   ,             0.2,             0.2,             0.1,             3.6
BigFloat.divide     ,             0.4,             0.3,             0.3,             1.9
