Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1129.1,          1114.6,          1086.2,          1323.8
log(0.2)            ,          1210.2,          1186.1,          1160.0,          1520.3
log(0.3)            ,          1138.1,          1123.7,          1091.9,          1312.6
log(0.4)            ,          1190.2,          1175.6,          1137.3,          1330.4
log(0.5)            ,            12.6,            10.9,            10.7,            18.9
log(0.6)            ,          1215.5,          1187.5,          1138.5,          1870.5
log(0.7)            ,          1232.3,          1215.2,          1164.1,          1827.7
log(0.8)            ,          1171.3,          1150.6,          1114.6,          1322.3
log(0.9)            ,          1113.7,          1098.4,          1061.8,          1269.7
log(1)              ,             0.1,             0.1,             0.0,             0.2
log(2)              ,            44.1,            41.6,            40.6,            57.6
log(10)             ,             1.9,             1.9,             1.8,             3.2
log(100)            ,            11.6,            10.9,            10.8,            17.0
log2(2)             ,           113.7,           112.3,            82.6,           254.3
log10(2)            ,            55.0,            51.4,            50.1,           193.3
exp(2)              ,           356.2,           339.3,           327.3,           548.6
sqrt(2)             ,            19.3,            19.1,            13.5,            37.4
sqrt(9)             ,             0.5,             0.4,             0.2,            12.3
pow(2;3)            ,             0.2,             0.2,             0.2,             0.3
pow(2;0.1)          ,           511.6,           492.5,           481.6,           743.7
root(2;3)           ,           223.1,           217.4,           199.1,           352.3
sin(2)              ,           331.1,           319.9,           313.2,           503.6
sin(100)            ,          1021.4,          1017.2,           932.5,          1171.5
cos(2)              ,           381.8,           360.9,           352.7,           802.5
cos(100)            ,          1308.2,          1467.7,          1000.7,          1813.5
tan(2)              ,          1171.0,          1143.2,          1066.4,          1444.0
cot(2)              ,          1163.3,          1142.7,          1112.5,          1360.6
asin(0.1)           ,          1201.6,          1184.9,          1146.2,          1362.9
asin(0.8)           ,         15666.5,         14169.5,         11755.2,         27428.1
acos(0.1)           ,           683.9,           665.8,           640.6,           882.2
atan(0.1)           ,          1214.1,          1194.7,          1141.2,          1397.3
acot(0.1)           ,          1238.9,          1223.2,          1177.4,          1510.5
sinh(2)             ,           480.7,           462.7,           449.4,           758.3
cosh(2)             ,           282.0,           272.0,           263.2,           415.8
tanh(2)             ,           639.1,           624.2,           594.9,           800.8
asinh(0.1)          ,          1013.2,           989.2,           943.2,          1597.1
acosh(2)            ,          1029.5,          1008.7,           968.5,          1597.8
atanh(0.1)          ,          1025.3,          1009.3,           968.1,          1198.0
acoth(2)            ,            94.2,            91.8,            65.4,           204.8
coth(2)             ,           646.7,           630.4,           602.4,           884.6
atan2(2;3)          ,         10577.3,         10499.7,         10182.1,         12595.1
gamma(0.1)          ,         10407.1,         10309.5,         10015.8,         17040.7
BigFloat.add        ,             0.8,             0.4,             0.3,            21.3
BigFloat.subtract   ,             0.4,             0.4,             0.3,             2.9
BigFloat.multiply   ,             0.3,             0.3,             0.3,             1.4
BigFloat.divide     ,             0.8,             0.8,             0.7,             2.0
