Name,log(0.1),exp(2),sqrt(2),pow(2;0.1),root(2;3),sin(2),cos(2),tan(2),cot(2),asin(0.1),acos(0.1),atan(0.1),acot(0.1),sinh(2),cosh(2),tanh(2),asinh(0.1),acosh(2),atanh(0.1),acoth(2),coth(2)
v2.2.0,2069,792,22,904,98,592,705,1369,1372,1465,1556,2215,2273,559,650,1359,2186,2206,2216,212,1381
sync_getFactor,2071,792,22,901,101,592,709,1377,1380,1474,1558,2212,2277,561,651,1362,2180,2198,2209,211,1366
sync_calc,2112,795,22,917,100,599,713,1384,1383,1481,1577,2270,2333,569,658,1379,2219,2237,2243,212,
per_request,2115,806,29,913,98,642,758,1474,1473,1698,1810,2469,2534,606,695,1458,2213,2231,2244,211,1465
