Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1509.5,          1477.6,          1440.0,          2142.9
log(0.2)            ,          1629.5,          1588.5,          1543.6,          2069.4
log(0.3)            ,          1542.6,          1494.5,          1450.1,          2001.8
log(0.4)            ,          1597.4,          1543.9,          1500.2,          2170.8
log(0.5)            ,            10.1,             9.7,             9.6,            42.2
log(0.6)            ,          1574.9,          1542.0,          1499.0,          2087.1
log(0.7)            ,          1600.9,          1562.4,          1519.9,          2086.5
log(0.8)            ,          1546.9,          1507.4,          1463.5,          2059.0
log(0.9)            ,          1471.3,          1433.0,          1391.9,          1926.7
log(1)              ,             0.0,             0.0,             0.0,             0.4
log(2)              ,            43.1,            42.2,            42.0,            72.9
log(10)             ,             1.2,             1.1,             1.1,             2.2
log(100)            ,             9.6,             9.5,             9.5,            12.5
log2(2)             ,            87.1,            83.7,            82.7,           151.6
log10(2)            ,            53.2,            50.2,            49.7,            90.2
exp(2)              ,           549.5,           540.6,           533.7,           666.1
sqrt(2)             ,            17.9,            15.1,            13.8,            59.0
sqrt(9)             ,             0.2,             0.2,             0.2,             0.3
pow(2;3)            ,             0.1,             0.1,             0.1,             0.3
pow(2;0.1)          ,           658.3,           630.6,           624.0,           932.5
root(2;3)           ,            92.1,            89.2,            88.6,           152.9
sin(2)              ,           465.5,           439.4,           432.6,           674.3
sin(100)            ,          1144.3,          1113.4,          1075.3,          1597.6
cos(2)              ,           501.5,           485.5,           481.6,           720.6
cos(100)            ,          1182.3,          1150.4,          1115.0,          1645.4
tan(2)              ,          1025.7,          1000.8,           983.9,          1491.8
cot(2)              ,          1032.5,          1022.0,           989.6,          1458.1
asin(0.1)           ,          1202.4,          1195.7,          1162.5,          1566.2
asin(0.8)           ,         25538.6,         25503.6,         24866.2,         27089.4
acos(0.1)           ,          1287.1,          1283.4,          1250.3,          1624.7
atan(0.1)           ,          2153.1,          2106.7,          2061.7,          2633.0
acot(0.1)           ,          2216.0,          2175.8,          2121.8,          2674.6
sinh(2)             ,           425.9,           406.1,           402.4,           673.3
cosh(2)             ,           448.2,           432.1,           428.2,           656.1
tanh(2)             ,          1031.3,          1009.2,           989.8,          1282.2
asinh(0.1)          ,          1583.3,          1551.3,          1509.4,          2239.0
acosh(2)            ,          1574.6,          1550.2,          1503.5,          2052.5
atanh(0.1)          ,          1635.1,          1596.2,          1554.1,          2109.3
acoth(2)            ,            80.7,            79.1,            78.3,           120.7
coth(2)             ,          1032.5,          1024.1,           996.5,          1417.6
atan2(2;3)          ,         20454.4,         20339.4,         19966.0,         21755.5
gamma(0.1)          ,         15862.7,         15832.3,         15431.4,         17435.7
BigFloat.add        ,             0.2,             0.2,             0.2,             1.2
BigFloat.subtract   ,             0.2,             0.1,             0.0,             2.0
BigFloat.multiply   ,             0.1,             0.1,             0.1,             0.9
BigFloat.divide     ,             0.3,             0.2,             0.2,             0.5
